Comment,Negative,Neutral,Positive
BEST JOB ENVIRONMENT Supportive Managment,0.00030124522,0.00042804598,0.99927074
Nothing as such to mention,0.00030827726,0.99891603,0.0007757232
Flexible timings and opportunities for professional development,0.00021261697,0.00020858893,0.9995788
Materials used are of poor quality,0.99912256,0.00072144985,0.00015607255
I honestly cannot think of one,0.00034278823,0.9993166,0.00034069768
Terrible bullying and vindictiveness from management.  No support for teachers facing challenging classes. The catch all 'solution' was to manage teachers out as soon as possible rather than management doing their jobs and developing teachers through training.  Management there are lazy and corrupt.,0.9988856,0.0009633849,0.00015105392
I worked at the Gutech for almost two years. This university treats her staff very well. They are professional kind and very generous. The campus is beautiful and welcoming. I had a wonderful experience with the head of Gubridge Mr RK Nair and the HR department under the direction of Ms. Hind and her wonderful assistant Ms. Shamsa. I hadn't the possibility to meet the rector in person Mr Alsalmi however in all his correspondences and meetings he was very kind professional respectful and humble. I recommend this institution to all teachers and students.,0.00041820863,0.0005694267,0.99901235
university restaurant and may be more office for Gubridge teachers.,0.00040980507,0.99699533,0.0025948964
Not bad as a transition job,0.004132768,0.9712002,0.024667036
not a job to keep for a long time,0.99903417,0.0007938123,0.00017213957
Great experience to develop the academic career while exploring a beautiful country.,0.000187195,0.00021331741,0.9995995
Temporary contract doesn’t provide a health insurance or paid leaves.,0.9991605,0.00066577195,0.00017360263
Multi cultural environment is great mix,0.00026243855,0.0008475937,0.99889
Located out of the city of Muscat,0.0007606832,0.99011,0.009129301
Flexible friendly working environment and friendly staff,0.00019497483,0.00018399839,0.99962103
Not stable working place Unfair recruitment policy,0.9992011,0.00063623325,0.00016275405
There was an International environment.,0.0019008873,0.9482307,0.049868464
They have double standard policies.,0.99898106,0.0008711555,0.00014782551
intercultural working place but racism amongst Omani (students) against other Asian nationalities spacious architecture big library space but underequipped library content huge spaces for corridors and atria but not for classrooms flexible in student grading as long as they succeed,0.99858654,0.0012518804,0.00016160715
incompetent management (court cases against the university are accumulating) insulting directors unfulfilling contract arrangement (salaries gratuity not paid visa provisions for families) no promotion chances no salary reviews quality assurance of student intake and release is questionable student quality might not meet standards for university level university education ethics do not fulfil quality but economic quantity administration does not support academic development purely educational driven environment (so rather to be titled vocational training institute and not university) colleagueship in various departments can be inhuman safety and security standards are not met (electrical wiring safety barriers flooring) far away from the city centre (ecological footprint is massive) massive class sizes due to understaffing and insufficient intake quality control unqualified staff (e.g. interns) might be used for teaching class community can be racist student motivation might be lacking,0.99917334,0.0006626146,0.00016406838
friendly atmosphere in the office,0.00019298494,0.00022743325,0.9995796
no cons in the university,0.014921933,0.9846795,0.0003985355
dream work place where lifetime Achievement,0.0027424265,0.0671386,0.930119
The challenge to travel Abroad,0.17613445,0.82308537,0.0007801913
Small place and good savings,0.005987601,0.11271945,0.88129294
Rigid private management  and hot weather,0.0030492742,0.6792392,0.31771144
It was a decent place to work and improving. Then the board decided to maximize profits sack the VC and abandon all ethics.,0.8627948,0.13411982,0.0030853846
They stopped even pretending to be a university. Marks are all inflated and in many cases entirely fraudulent. Course materials assignments and examinations are not even high school level. Cheating is rampant and condoned by management. Management refuses to spend a dime on necessary resources. Salaries are getting slashed. Unpaid overtime is the norm. Students suffer from abysmal employment opportunities upon graduation as it is a degree mill. Morale among staff and students is zero. A depressing hopeless place.,0.99917054,0.0006648205,0.00016464565
