Comment,Negative,Neutral,Positive
Handed in the application and received an offer after my practical year. If you perform well it is the best leverage point to get the job depending on the speciality.,0.003616045,0.50568604,0.49069792
"Standardfragen mit ein paar ""Geschicklichkeits"" und ""Logik"" Rätseln wie zum Beispiel das lösen eines Tangrams. Sonst wurde allerdings nicht viel gefragt. Es wurde mehr Wert auf den praktischen Teil gelegt",0.0013901679,0.9966546,0.0019551278
Zuvorkommend und höflich.  Der Ablauf wurde gut und genau erklärt.  Man bekommt eine Einarbeitung und wird anfangs begleitet. Das Team ist nett und man wird mit offenen Armen aufgenommen. Die Bewohner sind freundlich und zufrieden und haben keine scheu vor neuen Mitarbeitern.,0.0028804028,0.99581957,0.0013000141
 Meine Worte verdreht mich nicht aussprechen lassen mich kritisiert was ich überhaupt gelernt hätte hat mich mir vorgeworfen hätte mein Lebenslauf nicht mitgeschickt nach 4x schauen hat sie ihn gefunden kein Interesse an mir gehabt stellte mir Fragen worauf sie schon die Antwort hatte( Bewerbun/Lebenslauf),0.0009869488,0.9972167,0.0017963677
Umfangreiche Erklärung zur Ausbildung und dann Fragen zu der Person Hobbys etc. Insgesamt sehr familiär und sehr freundlich. Man hatte nicht das Gefühl das man mit Fragen überrannt wird. Direkt einen Tag später eine Rückmeldung bekommen.,0.0014521781,0.9969217,0.0016260957
Die Person hat sich vorgestellt zunächst. Anschließen hat man sich vorgestellt.  Über das Unternehmen und Berufserfahrung geredet.  Musste Probetag arbeiten. Mit wurde die Einrichtung gezeigt.  Die Chefin war sehr freundlich. Das Team sehr hilfreich,0.0036826734,0.9949275,0.0013897917
Jeden Tag müssen wir die Kinder bei den Hausaufgaben helfen oder sie bei Freizeitaktivitäten betreuen ausserdem geben wir im Kiosk der Awo Einrichtung essen raus und machen die Kasse dort. Die awo bietet auch viel weiter Bildung wie zb. Auf Seminaren etc.,0.0009844444,0.99737096,0.0016446031
Sehr nett persönliche Fragen soziales Engagement persönliche Vorstellungen von dem Job Motivation Erfahrungen Interessen Fachkenntnisse Verfügbarkeit Hobbies Sprachen etc  etc Bereitschaft im team zu arbeiten und so weiter,0.0004271401,0.9978381,0.0017347491
Auf die Empfehlung des Teamleiters wurden von diesem meine Unterlagen an die Bereichsleitung weitergeleitet. Daraufhin folgte die Einladung zu einem persönlichen Gespräch. Diesem folgten über eine kurze Vorstellung der eigenen Person Fragen über die eigene Intention. Allgemeines Gespräch über Probleme und Chancen in der Förderung von Kindern.,0.001533565,0.99648005,0.0019864305
Das Gespräch war sehr nett und wurde persönlich gehalten. es wurden kaum technische Fragen gefragt und eine detaillierte Überprüfung der Fähigkeiten und Eignung wurde nicht gemacht. Das Vorstellungsgespräch dauerte keine 30 Minuten.,0.0031601856,0.9949905,0.0018492407
