Comment,Negative,Neutral,Positive
I was in a departement with people who were passionate about their job as well as very professional and kind in their collaboration,0.0018253652,0.011015361,0.98715925
I can not find any downsides,0.0004063236,0.9991339,0.00045990272
part time work is flexible easy and rewarding,0.0004209336,0.00034313457,0.999236
part time work is repetitive and not very challenging,0.96728444,0.030128965,0.0025865734
PartTime School job on campus everyone was great.,0.0065268716,0.7392981,0.25417495
No cons they were great with school schedule and everything.,0.0005505129,0.9983682,0.001081304
Interesting job good courses multinational environment wide range of different activites lots of travelling,0.0004063707,0.00061836536,0.9989753
Poor salary unfair treatment of ALs in Europe with over 100 valuable members of staff being made redundant in order to protect Uk staff,0.9990508,0.0007880349,0.00016118318
This is a Good opportunity.,0.00024794627,0.0003164604,0.9994356
There is Not much to say.,0.00029980036,0.99885297,0.0008471614
