Comment,Negative,Neutral,Positive
Great team  Good training  Great team members,0.0003061337,0.00028191035,0.99941194
There were no cons at all,0.00035719428,0.99914193,0.0005008212
As a military spouse the full staff at the Cyprus office were very supportive   Good communications   Excellent opportunities   was sent to Germany on an ILM course   Well thought out processes   Clear roles and responsibilities,0.00022810424,0.00020855882,0.9995633
There was no air con in the office!! It was horrendous during summer,0.99893266,0.0008993583,0.00016797474
very good uni very good,0.0030171564,0.5639754,0.43300754
far away fromm my home,0.0020952118,0.99698335,0.0009214659
salary people education cv lifestyle,0.00048783852,0.9976343,0.0018779114
location PhD offers small university limited parking,0.9988524,0.0010092823,0.00013839245
Great Humanitarian organization with lots of positive effects on the community,0.0001747859,0.00017690928,0.99964833
yearly contracts which makes you feel not stable,0.9988673,0.0009994032,0.00013334742
