Comment,Negative,Neutral,Positive
Entretien de 30 min général sur les motivation Test technique assez spécifique Entretien de 2 heures avec responsable logistique et quelqu'un de RH sur l'expérience liée à la logistique et sur les motivation,0.00036947647,0.9971553,0.0024752535
Initial Interview was done from France by HR on Skype Totally incompetent HR who can't keep up with comments made. Do your research on protection of their staff  there is a lot of OSINT available and think twice,0.99870217,0.0011603696,0.00013739555
I applied for a program manager position in an Afrian country. The HR interview was pretty straightforward and typical HR questions: self presentation why ACTED what would my previous employers say about me.The second interview was harder. it was with 3 people: country director HR in HQ and a project coordinator. It was quite frustrating because they kept saying that they were interested in my profile which gave me false hope as I received an email 2 weeks later saying that I wasn't selected for the position.,0.9923989,0.0074023134,0.00019876474
Phone interview.Friendly staff.Declined progressing due to updated information that made the position not attractive. I explained that the offered salary was very low for international standards. HR mentioned their budget constraints then I offered to do the assignment pro bono but that option was not accepted.,0.99738854,0.0023200782,0.00029142832
I had a 30 minute HR interview. The interviewer didn't turn on their camera while mine was on which felt weird. The format was very much question answer question answer. The interviewer was friendly and led the interview nicely  there were no awkward pauses. At the end of the interview  you had the chance to ask questions and they answered openly and transparently which I appreciated a lot.,0.009099437,0.83328265,0.15761787
J'ai postulé à une offre via le site. Après avoir déposé mon CV et ma lettre de motivation on m'a contacté par mail. Le premier entretien s'est déroulé par téléphone,0.0004974169,0.9959863,0.0035163152
1er entretien (RH junior  30 minutes environ) Test pratique  2h  2nd entretien (RH  Responsable audits internes  50 minutes environ) Les entretiens se sont déroulés sur Skype.  Pas de questions pièges.,0.00036569545,0.99787176,0.0017625908
Really smooth One first interview with HR and second interview with Management. They know how to put you in a good situation and to make you less nervous. The timing was quite okay (less than 10 days in total),0.004116971,0.7971803,0.19870275
Applied to position about 1 week after posted. Heard back from HR representative about 1 week later to be invited to first screening interview. First interview was with HR rep over Skype audio only about 45 min interview interviewer was friendly and personable. We covered far more questions than I expected during the timeframe but most were straightforward.  Asked detailed questions about experience  be able to speak to your experience as it relates to everything in the job description.  Very helpful to Look at other Acted interview reviews on glass door  all the questions mentioned were asked.   A few days later I was invited to schedule a 2 hour technical test. Focused on monitoring and evaluation activities  both technical knowledge as well as applying M&E skills to a task and answering questions. There is a lot to complete in 2 hrs so time management is key and I think this was my downfall. The HR rep followed up shortly after to inform me that I did not move forward to the next stage (interview). Overall it was a positive experience.,0.0057867705,0.7907775,0.2034358
The interview was via Skype. I was asked to turn my camera on but the interviewer keeps theirs off  they said it was broken but I knew from other reviews that it is always this way. It lasted for approximately 30 mins.,0.00743653,0.99238366,0.00017986992
Entretien rapide et faut être flexible sur la destination. Selon le contexte ma communication peut être bonne.  Avant de partir en mission il faut idéalement avoir un call avec les équipes sur la mission.,0.00083403644,0.9923144,0.006851522
The whole process went smooth overall with good communication on Acted's part. I was notified that the interview would be conducted by Video Call and informed just a few days later of the outcome.,0.001226758,0.98084646,0.017926691
Après présélection :  1ère étape :  entretien RH général  2ème étape : test technique sur le Suivi & Evaluation 3ème étape : entretien avec le futur maitre de stage la responsable siège de Suivi & Evaluation et un officer RH senior.,0.00029952836,0.9979534,0.0017470245
